FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2021-06-11,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,893,BNA,"Nashville, TN",FLL,"Fort Lauderdale, FL",2020,2027.0,7.0,9.0,2036.0,2324.0,11.0,2335,2335.0,0.0,0.0,,0.0,135.0,128.0,108.0,793.0,,,,,
2023-04-30,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1908,ATL,"Atlanta, GA",GSP,"Greer, SC",2235,2244.0,9.0,10.0,2254.0,2325.0,2.0,2335,2327.0,-8.0,0.0,,0.0,60.0,43.0,31.0,153.0,,,,,
2023-03-22,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2709,STL,"St. Louis, MO",MIA,"Miami, FL",1305,1331.0,26.0,11.0,1342.0,1645.0,5.0,1645,1650.0,5.0,0.0,,0.0,160.0,139.0,123.0,1068.0,,,,,
2022-12-02,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3220,ORD,"Chicago, IL",DEN,"Denver, CO",1105,1104.0,-1.0,17.0,1121.0,1241.0,6.0,1310,1247.0,-23.0,0.0,,0.0,185.0,163.0,140.0,888.0,,,,,
2022-08-04,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2838,ONT,"Ontario, CA",SMF,"Sacramento, CA",2100,2058.0,-2.0,8.0,2106.0,2204.0,3.0,2220,2207.0,-13.0,0.0,,0.0,80.0,69.0,58.0,390.0,,,,,
2019-10-16,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,819,TYS,"Knoxville, TN",ATL,"Atlanta, GA",1518,1518.0,0.0,13.0,1531.0,1601.0,5.0,1620,1606.0,-14.0,0.0,,0.0,62.0,48.0,30.0,152.0,,,,,
2021-11-25,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1641,EWR,"Newark, NJ",MCO,"Orlando, FL",1135,1134.0,-1.0,16.0,1150.0,1407.0,6.0,1426,1413.0,-13.0,0.0,,0.0,171.0,159.0,137.0,937.0,,,,,
2023-03-16,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2091,SJC,"San Jose, CA",IAH,"Houston, TX",2300,2312.0,12.0,9.0,2321.0,429.0,5.0,444,434.0,-10.0,0.0,,0.0,224.0,202.0,188.0,1608.0,,,,,
2021-09-23,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1985,EWR,"Newark, NJ",LAX,"Los Angeles, CA",2005,733.0,688.0,12.0,745.0,943.0,11.0,2307,954.0,647.0,0.0,,0.0,362.0,321.0,298.0,2454.0,647.0,0.0,0.0,0.0,0.0
2019-08-20,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3740,DTW,"Detroit, MI",ROC,"Rochester, NY",1550,1706.0,76.0,14.0,1720.0,1806.0,6.0,1712,1812.0,60.0,0.0,,0.0,82.0,66.0,46.0,296.0,60.0,0.0,0.0,0.0,0.0
2022-02-16,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,686,MDW,"Chicago, IL",FLL,"Fort Lauderdale, FL",1410,1418.0,8.0,10.0,1428.0,1753.0,3.0,1810,1756.0,-14.0,0.0,,0.0,180.0,158.0,145.0,1167.0,,,,,
2022-11-01,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,801,PHL,"Philadelphia, PA",RSW,"Fort Myers, FL",2106,2139.0,33.0,22.0,2201.0,31.0,4.0,2357,35.0,38.0,0.0,,0.0,171.0,176.0,150.0,993.0,33.0,0.0,5.0,0.0,0.0
2021-06-01,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,690,MDW,"Chicago, IL",GRR,"Grand Rapids, MI",2120,2141.0,21.0,9.0,2150.0,2314.0,3.0,2310,2317.0,7.0,0.0,,0.0,50.0,36.0,24.0,137.0,,,,,
2023-01-12,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2122,BNA,"Nashville, TN",CMH,"Columbus, OH",1840,1959.0,79.0,11.0,2010.0,2204.0,12.0,2100,2216.0,76.0,0.0,,0.0,80.0,77.0,54.0,337.0,0.0,0.0,0.0,0.0,76.0
2022-09-25,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1178,DCA,"Washington, DC",MIA,"Miami, FL",530,523.0,-7.0,15.0,538.0,745.0,10.0,806,755.0,-11.0,0.0,,0.0,156.0,152.0,127.0,919.0,,,,,
2022-04-11,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,309,SEA,"Seattle, WA",OAK,"Oakland, CA",2145,2203.0,18.0,21.0,2224.0,2355.0,7.0,2349,2.0,13.0,0.0,,0.0,124.0,119.0,91.0,672.0,,,,,
2020-09-10,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5693,MOB,"Mobile, AL",CLT,"Charlotte, NC",1427,1419.0,-8.0,9.0,1428.0,1646.0,8.0,1712,1654.0,-18.0,0.0,,0.0,105.0,95.0,78.0,526.0,,,,,
2019-03-29,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1115,BWI,"Baltimore, MD",SJU,"San Juan, PR",1448,1443.0,-5.0,10.0,1453.0,1819.0,5.0,1859,1824.0,-35.0,0.0,,0.0,251.0,221.0,206.0,1565.0,,,,,
2019-12-04,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,421,EWR,"Newark, NJ",BOS,"Boston, MA",2030,2028.0,-2.0,41.0,2109.0,2153.0,5.0,2141,2158.0,17.0,0.0,,0.0,71.0,90.0,44.0,200.0,0.0,0.0,17.0,0.0,0.0
2020-01-27,Envoy Air,Envoy Air: MQ,MQ,20398,3777,LEX,"Lexington, KY",DFW,"Dallas/Fort Worth, TX",1401,,,,,,,1537,,,1.0,B,0.0,156.0,,,785.0,,,,,
2021-12-21,JetBlue Airways,JetBlue Airways: B6,B6,20409,371,LGA,"New York, NY",FLL,"Fort Lauderdale, FL",1545,1628.0,43.0,28.0,1656.0,1939.0,6.0,1901,1945.0,44.0,0.0,,0.0,196.0,197.0,163.0,1076.0,43.0,0.0,1.0,0.0,0.0
2021-12-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1220,PBI,"West Palm Beach/Palm Beach, FL",DFW,"Dallas/Fort Worth, TX",730,724.0,-6.0,17.0,741.0,933.0,9.0,949,942.0,-7.0,0.0,,0.0,199.0,198.0,172.0,1102.0,,,,,
2020-12-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2105,MIA,"Miami, FL",JAX,"Jacksonville, FL",2138,2137.0,-1.0,18.0,2155.0,2246.0,4.0,2301,2250.0,-11.0,0.0,,0.0,83.0,73.0,51.0,335.0,,,,,
2022-09-24,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,1477,SFO,"San Francisco, CA",SEA,"Seattle, WA",1210,1202.0,-8.0,19.0,1221.0,1350.0,10.0,1423,1400.0,-23.0,0.0,,0.0,133.0,118.0,89.0,679.0,,,,,
2019-07-27,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,64,ANC,"Anchorage, AK",JNU,"Juneau, AK",1115,1108.0,-7.0,15.0,1123.0,1240.0,3.0,1250,1243.0,-7.0,0.0,,0.0,95.0,95.0,77.0,571.0,,,,,
2021-04-16,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3793,FAT,"Fresno, CA",SLC,"Salt Lake City, UT",610,606.0,-4.0,10.0,616.0,835.0,15.0,854,850.0,-4.0,0.0,,0.0,104.0,104.0,79.0,501.0,,,,,
2020-05-12,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,266,SFO,"San Francisco, CA",EWR,"Newark, NJ",1350,1352.0,2.0,17.0,1409.0,2148.0,6.0,2229,2154.0,-35.0,0.0,,0.0,339.0,302.0,279.0,2565.0,,,,,
2020-02-09,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3455,SMF,"Sacramento, CA",SAN,"San Diego, CA",1520,1511.0,-9.0,10.0,1521.0,1634.0,3.0,1655,1637.0,-18.0,0.0,,0.0,95.0,86.0,73.0,480.0,,,,,
2020-08-04,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2242,MCO,"Orlando, FL",MDW,"Chicago, IL",1300,1253.0,-7.0,8.0,1301.0,1410.0,5.0,1445,1415.0,-30.0,0.0,,0.0,165.0,142.0,129.0,990.0,,,,,
2019-10-20,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,130,ANC,"Anchorage, AK",PDX,"Portland, OR",535,524.0,-11.0,11.0,535.0,935.0,3.0,1005,938.0,-27.0,0.0,,0.0,210.0,194.0,180.0,1542.0,,,,,
2019-12-13,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1074,SEA,"Seattle, WA",BOS,"Boston, MA",1134,1134.0,0.0,22.0,1156.0,1941.0,11.0,1959,1952.0,-7.0,0.0,,0.0,325.0,318.0,285.0,2496.0,,,,,
2021-11-10,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5653,SFO,"San Francisco, CA",SBP,"San Luis Obispo, CA",2235,2233.0,-2.0,27.0,2300.0,2336.0,4.0,2340,2340.0,0.0,0.0,,0.0,65.0,67.0,36.0,190.0,,,,,
2021-01-14,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4865,SJC,"San Jose, CA",LGB,"Long Beach, CA",845,840.0,-5.0,7.0,847.0,941.0,4.0,1000,945.0,-15.0,0.0,,0.0,75.0,65.0,54.0,324.0,,,,,
2022-10-12,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2370,CLE,"Cleveland, OH",ORD,"Chicago, IL",640,635.0,-5.0,18.0,653.0,646.0,8.0,712,654.0,-18.0,0.0,,0.0,92.0,79.0,53.0,316.0,,,,,
